Applied Nodal Loadvector Loadcase      2
  Node     PXX[N]     PYY[N]     PZZ[N]    MXX[Nm]    MYY[Nm]    MZZ[Nm]
  3650       0.00       0.00    -133.11       0.00       0.00       0.00
  3651       0.00       0.00    -125.95       0.00       0.00       0.00
  3652       0.00       0.00    -128.58       0.00       0.00       0.00
  3653       0.00       0.00    -153.10       0.00       0.00       0.00
  3654       0.00       0.00    -175.94       0.00       0.00       0.00
  3655       0.00       0.00    -177.60       0.00       0.00       0.00
  3656       0.00       0.00    -153.07       0.00       0.00       0.00
  3657       0.00       0.00    -124.52       0.00       0.00       0.00
  3658       0.00       0.00    -115.61       0.00       0.00       0.00
  3659       0.00       0.00    -126.17       0.00       0.00       0.00
  3660       0.00       0.00    -152.78       0.00       0.00       0.00
  3661       0.00       0.00    -178.42       0.00       0.00       0.00
  3662       0.00       0.00    -163.24       0.00       0.00       0.00
  3663       0.00       0.00    -130.38       0.00       0.00       0.00
  3664       0.00       0.00    -158.75       0.00       0.00       0.00
  3665       0.00       0.00    -176.36       0.00       0.00       0.00
  3666       0.00       0.00    -154.31       0.00       0.00       0.00
  3667       0.00       0.00    -116.50       0.00       0.00       0.00
  3668       0.00       0.00     -84.82       0.00       0.00       0.00
  3669       0.00       0.00     -58.06       0.00       0.00       0.00
  3675       0.00       0.00    -243.55       0.00       0.00       0.00
  3676       0.00       0.00    -179.05       0.00       0.00       0.00
  3677       0.00       0.00    -171.82       0.00       0.00       0.00
  3678       0.00       0.00    -180.32       0.00       0.00       0.00
  3679       0.00       0.00    -200.11       0.00       0.00       0.00
  3680       0.00       0.00    -227.21       0.00       0.00       0.00
  3681       0.00       0.00    -248.53       0.00       0.00       0.00
  3682       0.00       0.00    -270.00       0.00       0.00       0.00
  3683       0.00       0.00    -411.20       0.00       0.00       0.00
  3684       0.00       0.00    -262.41       0.00       0.00       0.00
  3685       0.00       0.00    -232.20       0.00       0.00       0.00
  3686       0.00       0.00    -282.88       0.00       0.00       0.00
